date,time_5min,小客車_車速,小貨車_車速,大客車_車速,大貨車_車速,聯結車_車速
2025-07-05,00:00:00,104.0,101.0,98.0,94.0,94.0
2025-07-05,00:05:00,103.0,101.0,98.0,96.0,84.0
2025-07-05,00:10:00,104.0,98.0,100.0,95.0,87.0
2025-07-05,00:15:00,103.0,99.0,94.0,93.0,97.0
2025-07-05,00:20:00,103.0,98.0,95.0,90.0,88.0
2025-07-05,00:25:00,106.0,99.0,98.0,94.0,86.0
2025-07-05,00:30:00,106.0,102.0,98.0,91.0,90.0
2025-07-05,00:35:00,104.0,102.0,94.0,94.0,93.0
2025-07-05,00:40:00,103.0,102.0,98.0,94.0,88.0
2025-07-05,00:45:00,103.0,102.0,84.0,97.0,88.0
2025-07-05,00:50:00,104.0,98.0,98.0,94.0,92.0
2025-07-05,00:55:00,107.0,109.0,100.0,98.0,93.0
2025-07-05,01:00:00,103.0,98.0,0.0,100.0,88.0
2025-07-05,01:05:00,105.0,106.0,100.0,95.0,92.0
2025-07-05,01:10:00,106.0,102.0,104.0,98.0,93.0
2025-07-05,01:15:00,102.0,108.0,92.0,94.0,94.0
2025-07-05,01:20:00,105.0,102.0,98.0,93.0,90.0
2025-07-05,01:25:00,104.0,104.0,0.0,100.0,89.0
2025-07-05,01:30:00,104.0,106.0,95.0,93.0,92.0
2025-07-05,01:35:00,104.0,96.0,0.0,93.0,94.0
2025-07-05,01:40:00,102.0,102.0,99.0,93.0,94.0
2025-07-05,01:45:00,108.0,106.0,103.0,95.0,95.0
2025-07-05,01:50:00,104.0,99.0,94.0,103.0,96.0
2025-07-05,01:55:00,104.0,100.0,91.0,100.0,91.0
2025-07-05,02:00:00,106.0,101.0,90.0,98.0,88.0
2025-07-05,02:05:00,108.0,102.0,100.0,98.0,82.0
2025-07-05,02:10:00,105.0,100.0,88.0,99.0,97.0
2025-07-05,02:15:00,106.0,99.0,79.0,93.0,92.0
2025-07-05,02:20:00,100.0,92.0,0.0,91.0,89.0
2025-07-05,02:25:00,103.0,104.0,97.0,99.0,94.0
2025-07-05,02:30:00,104.0,99.0,0.0,100.0,79.0
2025-07-05,02:35:00,103.0,107.0,0.0,99.0,92.0
2025-07-05,02:40:00,103.0,104.0,104.0,97.0,92.0
2025-07-05,02:45:00,106.0,105.0,100.0,89.0,93.0
2025-07-05,02:50:00,104.0,103.0,100.0,89.0,91.0
2025-07-05,02:55:00,100.0,99.0,97.0,94.0,93.0
2025-07-05,03:00:00,103.0,106.0,98.0,95.0,93.0
2025-07-05,03:05:00,104.0,100.0,110.0,95.0,98.0
2025-07-05,03:10:00,99.0,91.0,0.0,98.0,92.0
2025-07-05,03:15:00,104.0,102.0,0.0,97.0,97.0
2025-07-05,03:20:00,103.0,98.0,100.0,99.0,95.0
2025-07-05,03:25:00,103.0,98.0,107.0,102.0,90.0
2025-07-05,03:30:00,108.0,103.0,95.0,95.0,89.0
2025-07-05,03:35:00,104.0,107.0,102.0,92.0,89.0
2025-07-05,03:40:00,104.0,100.0,0.0,95.0,91.0
2025-07-05,03:45:00,102.0,107.0,0.0,94.0,93.0
2025-07-05,03:50:00,104.0,98.0,100.0,95.0,97.0
2025-07-05,03:55:00,103.0,99.0,0.0,95.0,89.0
2025-07-05,04:00:00,104.0,106.0,100.0,94.0,91.0
2025-07-05,04:05:00,106.0,98.0,103.0,94.0,94.0
2025-07-05,04:10:00,104.0,98.0,106.0,94.0,94.0
2025-07-05,04:15:00,106.0,104.0,94.0,93.0,98.0
2025-07-05,04:20:00,104.0,98.0,93.0,95.0,88.0
2025-07-05,04:25:00,107.0,104.0,0.0,97.0,89.0
2025-07-05,04:30:00,104.0,104.0,93.0,91.0,80.0
2025-07-05,04:35:00,104.0,99.0,92.0,102.0,91.0
2025-07-05,04:40:00,104.0,108.0,0.0,94.0,89.0
2025-07-05,04:45:00,106.0,106.0,95.0,90.0,91.0
2025-07-05,04:50:00,107.0,102.0,107.0,94.0,88.0
2025-07-05,04:55:00,108.0,108.0,0.0,84.0,89.0
2025-07-05,05:00:00,104.0,99.0,101.0,90.0,93.0
2025-07-05,05:05:00,106.0,103.0,0.0,99.0,89.0
2025-07-05,05:10:00,108.0,102.0,95.0,93.0,85.0
2025-07-05,05:15:00,104.0,105.0,100.0,82.0,91.0
2025-07-05,05:20:00,106.0,104.0,0.0,98.0,94.0
2025-07-05,05:25:00,104.0,102.0,99.0,99.0,88.0
2025-07-05,05:30:00,104.0,102.0,99.0,91.0,93.0
2025-07-05,05:35:00,107.0,106.0,100.0,102.0,94.0
2025-07-05,05:40:00,104.0,98.0,85.0,94.0,95.0
2025-07-05,05:45:00,103.0,103.0,97.0,84.0,91.0
2025-07-05,05:50:00,103.0,104.0,94.0,91.0,88.0
2025-07-05,05:55:00,103.0,98.0,92.0,97.0,97.0
2025-07-05,06:00:00,104.0,104.0,100.0,94.0,93.0
2025-07-05,06:05:00,103.0,104.0,99.0,91.0,91.0
2025-07-05,06:10:00,104.0,103.0,95.0,98.0,92.0
2025-07-05,06:15:00,102.0,103.0,97.0,88.0,85.0
2025-07-05,06:20:00,98.0,97.0,97.0,92.0,91.0
2025-07-05,06:25:00,99.0,99.0,95.0,96.0,92.0
2025-07-05,06:30:00,99.0,99.0,92.0,96.0,94.0
2025-07-05,06:35:00,97.0,99.0,91.0,86.0,87.0
2025-07-05,06:40:00,99.0,99.0,97.0,89.0,90.0
2025-07-05,06:45:00,97.0,97.0,94.0,89.0,93.0
2025-07-05,06:50:00,93.0,90.0,93.0,89.0,89.0
2025-07-05,06:55:00,95.0,94.0,91.0,93.0,89.0
2025-07-05,07:00:00,94.0,94.0,90.0,92.0,94.0
2025-07-05,07:05:00,92.0,92.0,85.0,89.0,90.0
2025-07-05,07:10:00,87.0,87.0,87.0,82.0,81.0
2025-07-05,07:15:00,91.0,90.0,88.0,86.0,83.0
2025-07-05,07:20:00,88.0,88.0,85.0,88.0,83.0
2025-07-05,07:25:00,95.0,95.0,93.0,88.0,89.0
2025-07-05,07:30:00,92.0,89.0,85.0,90.0,89.0
2025-07-05,07:35:00,89.0,87.0,88.0,82.0,82.0
2025-07-05,07:40:00,90.0,89.0,88.0,87.0,86.0
2025-07-05,07:45:00,87.0,87.0,84.0,79.0,82.0
2025-07-05,07:50:00,95.0,94.0,89.0,90.0,85.0
2025-07-05,07:55:00,94.0,94.0,93.0,89.0,92.0
2025-07-05,08:00:00,91.0,89.0,88.0,87.0,87.0
2025-07-05,08:05:00,88.0,87.0,85.0,85.0,85.0
2025-07-05,08:10:00,86.0,85.0,83.0,80.0,81.0
2025-07-05,08:15:00,84.0,82.0,82.0,82.0,75.0
2025-07-05,08:20:00,79.0,80.0,78.0,75.0,75.0
2025-07-05,08:25:00,81.0,80.0,80.0,75.0,80.0
2025-07-05,08:30:00,82.0,80.0,79.0,78.0,80.0
2025-07-05,08:35:00,83.0,83.0,77.0,85.0,77.0
2025-07-05,08:40:00,82.0,82.0,80.0,79.0,82.0
2025-07-05,08:45:00,80.0,80.0,78.0,77.0,76.0
2025-07-05,08:50:00,80.0,79.0,76.0,78.0,78.0
2025-07-05,08:55:00,72.0,73.0,72.0,75.0,73.0
2025-07-05,09:00:00,66.0,66.0,67.0,65.0,66.0
2025-07-05,09:05:00,67.0,64.0,68.0,69.0,70.0
2025-07-05,09:10:00,63.0,63.0,71.0,67.0,68.0
2025-07-05,09:15:00,60.0,62.0,64.0,64.0,67.0
2025-07-05,09:20:00,56.0,55.0,64.0,57.0,63.0
2025-07-05,09:25:00,50.0,52.0,56.0,56.0,54.0
2025-07-05,09:30:00,51.0,50.0,55.0,54.0,60.0
2025-07-05,09:35:00,46.0,46.0,54.0,49.0,54.0
2025-07-05,09:40:00,46.0,46.0,53.0,48.0,52.0
2025-07-05,09:45:00,47.0,47.0,50.0,52.0,50.0
2025-07-05,09:50:00,42.0,41.0,41.0,44.0,46.0
2025-07-05,09:55:00,38.0,38.0,43.0,42.0,45.0
2025-07-05,10:00:00,37.0,37.0,36.0,41.0,41.0
2025-07-05,10:05:00,36.0,37.0,46.0,36.0,39.0
2025-07-05,10:10:00,38.0,39.0,45.0,42.0,44.0
2025-07-05,10:15:00,37.0,37.0,41.0,40.0,39.0
2025-07-05,10:20:00,37.0,37.0,37.0,39.0,39.0
2025-07-05,10:25:00,36.0,36.0,37.0,38.0,37.0
2025-07-05,10:30:00,35.0,35.0,36.0,35.0,35.0
2025-07-05,10:35:00,33.0,33.0,34.0,33.0,33.0
2025-07-05,10:40:00,37.0,36.0,33.0,37.0,36.0
2025-07-05,10:45:00,32.0,32.0,31.0,34.0,32.0
2025-07-05,10:50:00,35.0,35.0,37.0,36.0,35.0
2025-07-05,10:55:00,35.0,35.0,38.0,36.0,38.0
2025-07-05,11:00:00,34.0,35.0,34.0,38.0,38.0
2025-07-05,11:05:00,35.0,36.0,35.0,36.0,39.0
2025-07-05,11:10:00,36.0,36.0,34.0,36.0,35.0
2025-07-05,11:15:00,32.0,32.0,32.0,33.0,33.0
2025-07-05,11:20:00,31.0,31.0,33.0,32.0,33.0
2025-07-05,11:25:00,31.0,31.0,31.0,30.0,32.0
2025-07-05,11:30:00,38.0,37.0,39.0,39.0,39.0
2025-07-05,11:35:00,38.0,39.0,40.0,40.0,38.0
2025-07-05,11:40:00,39.0,39.0,43.0,44.0,45.0
2025-07-05,11:45:00,39.0,40.0,45.0,41.0,43.0
2025-07-05,11:50:00,41.0,41.0,50.0,49.0,49.0
2025-07-05,11:55:00,41.0,42.0,47.0,50.0,47.0
2025-07-05,12:00:00,49.0,51.0,53.0,52.0,50.0
2025-07-05,12:05:00,58.0,60.0,55.0,60.0,55.0
2025-07-05,12:10:00,57.0,56.0,62.0,60.0,59.0
2025-07-05,12:15:00,69.0,69.0,71.0,73.0,71.0
2025-07-05,12:20:00,71.0,73.0,72.0,68.0,69.0
2025-07-05,12:25:00,89.0,89.0,86.0,84.0,86.0
2025-07-05,12:30:00,98.0,95.0,92.0,83.0,86.0
2025-07-05,12:35:00,97.0,97.0,95.0,88.0,91.0
2025-07-05,12:40:00,99.0,98.0,92.0,89.0,85.0
2025-07-05,12:45:00,97.0,94.0,90.0,88.0,89.0
2025-07-05,12:50:00,98.0,97.0,98.0,88.0,87.0
2025-07-05,12:55:00,95.0,97.0,95.0,91.0,91.0
2025-07-05,13:00:00,94.0,89.0,86.0,88.0,92.0
2025-07-05,13:05:00,94.0,92.0,84.0,86.0,85.0
2025-07-05,13:10:00,98.0,95.0,91.0,0.0,92.0
2025-07-05,13:15:00,89.0,89.0,91.0,90.0,85.0
2025-07-05,13:20:00,83.0,83.0,82.0,83.0,73.0
2025-07-05,13:25:00,93.0,92.0,84.0,86.0,88.0
2025-07-05,13:30:00,98.0,98.0,95.0,92.0,88.0
2025-07-05,13:35:00,98.0,98.0,94.0,92.0,89.0
2025-07-05,13:40:00,98.0,97.0,93.0,91.0,83.0
2025-07-05,13:45:00,95.0,92.0,84.0,92.0,89.0
2025-07-05,13:50:00,94.0,92.0,94.0,83.0,83.0
2025-07-05,13:55:00,95.0,95.0,87.0,91.0,85.0
2025-07-05,14:00:00,97.0,95.0,94.0,87.0,82.0
2025-07-05,14:05:00,95.0,95.0,90.0,82.0,88.0
2025-07-05,14:10:00,91.0,91.0,90.0,88.0,89.0
2025-07-05,14:15:00,93.0,94.0,93.0,88.0,80.0
2025-07-05,14:20:00,93.0,93.0,91.0,94.0,85.0
2025-07-05,14:25:00,92.0,90.0,88.0,90.0,85.0
2025-07-05,14:30:00,94.0,91.0,79.0,93.0,80.0
2025-07-05,14:35:00,94.0,92.0,50.0,91.0,87.0
2025-07-05,14:40:00,90.0,87.0,87.0,88.0,87.0
2025-07-05,14:45:00,89.0,88.0,82.0,82.0,82.0
2025-07-05,14:50:00,90.0,89.0,88.0,85.0,75.0
2025-07-05,14:55:00,89.0,89.0,80.0,83.0,84.0
2025-07-05,15:00:00,94.0,93.0,90.0,86.0,84.0
2025-07-05,15:05:00,88.0,88.0,84.0,82.0,82.0
2025-07-05,15:10:00,90.0,90.0,89.0,87.0,86.0
2025-07-05,15:15:00,95.0,95.0,94.0,88.0,92.0
2025-07-05,15:20:00,91.0,89.0,91.0,87.0,88.0
2025-07-05,15:25:00,94.0,93.0,88.0,88.0,88.0
2025-07-05,15:30:00,91.0,91.0,85.0,88.0,91.0
2025-07-05,15:35:00,94.0,93.0,92.0,84.0,84.0
2025-07-05,15:40:00,94.0,94.0,86.0,85.0,83.0
2025-07-05,15:45:00,97.0,95.0,92.0,95.0,90.0
2025-07-05,15:50:00,99.0,97.0,93.0,88.0,92.0
2025-07-05,15:55:00,100.0,95.0,95.0,90.0,93.0
2025-07-05,16:00:00,98.0,98.0,88.0,93.0,81.0
2025-07-05,16:05:00,94.0,94.0,92.0,90.0,87.0
2025-07-05,16:10:00,99.0,98.0,97.0,89.0,87.0
2025-07-05,16:15:00,97.0,98.0,94.0,91.0,89.0
2025-07-05,16:20:00,97.0,97.0,91.0,95.0,88.0
2025-07-05,16:25:00,98.0,95.0,89.0,98.0,86.0
2025-07-05,16:30:00,95.0,94.0,82.0,94.0,88.0
2025-07-05,16:35:00,94.0,93.0,91.0,87.0,84.0
2025-07-05,16:40:00,94.0,94.0,87.0,87.0,84.0
2025-07-05,16:45:00,97.0,95.0,92.0,82.0,88.0
2025-07-05,16:50:00,94.0,93.0,88.0,79.0,82.0
2025-07-05,16:55:00,95.0,95.0,94.0,93.0,93.0
2025-07-05,17:00:00,93.0,92.0,88.0,87.0,84.0
2025-07-05,17:05:00,97.0,98.0,96.0,85.0,86.0
2025-07-05,17:10:00,97.0,93.0,98.0,87.0,81.0
2025-07-05,17:15:00,93.0,91.0,93.0,87.0,80.0
2025-07-05,17:20:00,95.0,95.0,86.0,84.0,86.0
2025-07-05,17:25:00,97.0,97.0,94.0,92.0,87.0
2025-07-05,17:30:00,95.0,97.0,92.0,88.0,91.0
2025-07-05,17:35:00,97.0,96.0,93.0,90.0,85.0
2025-07-05,17:40:00,97.0,96.0,97.0,91.0,87.0
2025-07-05,17:45:00,95.0,95.0,92.0,87.0,86.0
2025-07-05,17:50:00,100.0,99.0,93.0,88.0,93.0
2025-07-05,17:55:00,100.0,100.0,91.0,86.0,82.0
2025-07-05,18:00:00,98.0,99.0,92.0,92.0,91.0
2025-07-05,18:05:00,99.0,95.0,94.0,93.0,93.0
2025-07-05,18:10:00,102.0,99.0,97.0,95.0,94.0
2025-07-05,18:15:00,100.0,98.0,98.0,89.0,87.0
2025-07-05,18:20:00,98.0,99.0,90.0,93.0,87.0
2025-07-05,18:25:00,98.0,96.0,93.0,90.0,87.0
2025-07-05,18:30:00,100.0,97.0,95.0,88.0,94.0
2025-07-05,18:35:00,99.0,99.0,92.0,87.0,80.0
2025-07-05,18:40:00,100.0,94.0,90.0,88.0,87.0
2025-07-05,18:45:00,99.0,98.0,94.0,97.0,88.0
2025-07-05,18:50:00,97.0,98.0,91.0,82.0,85.0
2025-07-05,18:55:00,96.0,94.0,89.0,86.0,83.0
2025-07-05,19:00:00,96.0,94.0,93.0,93.0,94.0
2025-07-05,19:05:00,93.0,93.0,91.0,87.0,79.0
2025-07-05,19:10:00,97.0,95.0,89.0,86.0,80.0
2025-07-05,19:15:00,91.0,91.0,84.0,83.0,80.0
2025-07-05,19:20:00,99.0,98.0,91.0,94.0,88.0
2025-07-05,19:25:00,99.0,94.0,89.0,85.0,85.0
2025-07-05,19:30:00,96.0,92.0,90.0,90.0,84.0
2025-07-05,19:35:00,95.0,91.0,88.0,88.0,86.0
2025-07-05,19:40:00,99.0,100.0,97.0,89.0,91.0
2025-07-05,19:45:00,95.0,95.0,91.0,78.0,85.0
2025-07-05,19:50:00,95.0,93.0,88.0,87.0,87.0
