date,time_5min,小客車_車速,小貨車_車速,大客車_車速,大貨車_車速,聯結車_車速
2025-07-01,00:00:00,107.0,100.0,94.0,97.0,71.0
2025-07-01,00:05:00,106.0,94.0,0.0,93.0,84.0
2025-07-01,00:10:00,107.0,106.0,98.0,88.0,88.0
2025-07-01,00:15:00,107.0,100.0,99.0,98.0,97.0
2025-07-01,00:20:00,104.0,99.0,94.0,95.0,91.0
2025-07-01,00:25:00,107.0,102.0,0.0,98.0,93.0
2025-07-01,00:30:00,106.0,101.0,0.0,88.0,93.0
2025-07-01,00:35:00,106.0,95.0,102.0,100.0,87.0
2025-07-01,00:40:00,106.0,108.0,103.0,90.0,93.0
2025-07-01,00:45:00,104.0,102.0,97.0,99.0,96.0
2025-07-01,00:50:00,108.0,104.0,102.0,102.0,86.0
2025-07-01,00:55:00,102.0,102.0,99.0,89.0,93.0
2025-07-01,01:00:00,106.0,104.0,103.0,97.0,86.0
2025-07-01,01:05:00,106.0,106.0,98.0,93.0,87.0
2025-07-01,01:10:00,107.0,102.0,99.0,98.0,95.0
2025-07-01,01:15:00,106.0,97.0,0.0,90.0,90.0
2025-07-01,01:20:00,108.0,99.0,0.0,91.0,86.0
2025-07-01,01:25:00,108.0,110.0,94.0,97.0,91.0
2025-07-01,01:30:00,102.0,102.0,0.0,99.0,92.0
2025-07-01,01:35:00,103.0,107.0,98.0,96.0,93.0
2025-07-01,01:40:00,106.0,93.0,98.0,97.0,87.0
2025-07-01,01:45:00,99.0,105.0,93.0,96.0,94.0
2025-07-01,01:50:00,104.0,107.0,0.0,97.0,87.0
2025-07-01,01:55:00,106.0,103.0,94.0,94.0,97.0
2025-07-01,02:00:00,106.0,99.0,0.0,98.0,84.0
2025-07-01,02:05:00,103.0,98.0,96.0,93.0,91.0
2025-07-01,02:10:00,106.0,99.0,104.0,95.0,89.0
2025-07-01,02:15:00,104.0,105.0,99.0,94.0,88.0
2025-07-01,02:20:00,104.0,102.0,89.0,94.0,91.0
2025-07-01,02:25:00,105.0,102.0,97.0,97.0,92.0
2025-07-01,02:30:00,112.0,101.0,106.0,98.0,94.0
2025-07-01,02:35:00,104.0,108.0,100.0,92.0,95.0
2025-07-01,02:40:00,106.0,102.0,101.0,93.0,92.0
2025-07-01,02:45:00,106.0,102.0,99.0,100.0,89.0
2025-07-01,02:50:00,104.0,104.0,102.0,97.0,93.0
2025-07-01,02:55:00,108.0,106.0,100.0,92.0,90.0
2025-07-01,03:00:00,98.0,89.0,0.0,93.0,86.0
2025-07-01,03:05:00,106.0,104.0,86.0,95.0,92.0
2025-07-01,03:10:00,106.0,98.0,108.0,100.0,87.0
2025-07-01,03:15:00,108.0,100.0,104.0,95.0,91.0
2025-07-01,03:20:00,107.0,103.0,93.0,97.0,94.0
2025-07-01,03:25:00,106.0,104.0,0.0,98.0,94.0
2025-07-01,03:30:00,102.0,100.0,100.0,97.0,86.0
2025-07-01,03:35:00,106.0,94.0,0.0,92.0,88.0
2025-07-01,03:40:00,103.0,100.0,100.0,94.0,85.0
2025-07-01,03:45:00,104.0,108.0,97.0,90.0,92.0
2025-07-01,03:50:00,102.0,115.0,108.0,95.0,93.0
2025-07-01,03:55:00,104.0,116.0,0.0,88.0,86.0
2025-07-01,04:00:00,98.0,104.0,0.0,92.0,91.0
2025-07-01,04:05:00,103.0,104.0,95.0,97.0,89.0
2025-07-01,04:10:00,101.0,100.0,0.0,97.0,92.0
2025-07-01,04:15:00,106.0,102.0,0.0,85.0,88.0
2025-07-01,04:20:00,104.0,104.0,0.0,97.0,88.0
2025-07-01,04:25:00,108.0,97.0,97.0,88.0,98.0
2025-07-01,04:30:00,104.0,92.0,0.0,92.0,86.0
2025-07-01,04:35:00,106.0,100.0,97.0,98.0,94.0
2025-07-01,04:40:00,101.0,102.0,0.0,91.0,89.0
2025-07-01,04:45:00,104.0,108.0,100.0,89.0,91.0
2025-07-01,04:50:00,102.0,98.0,100.0,94.0,88.0
2025-07-01,04:55:00,105.0,103.0,101.0,93.0,88.0
2025-07-01,05:00:00,103.0,100.0,99.0,89.0,91.0
2025-07-01,05:05:00,102.0,103.0,0.0,92.0,87.0
2025-07-01,05:10:00,103.0,104.0,103.0,95.0,97.0
2025-07-01,05:15:00,107.0,103.0,90.0,95.0,91.0
2025-07-01,05:20:00,106.0,105.0,96.0,94.0,93.0
2025-07-01,05:25:00,107.0,104.0,99.0,97.0,89.0
2025-07-01,05:30:00,108.0,100.0,87.0,95.0,90.0
2025-07-01,05:35:00,104.0,104.0,100.0,91.0,94.0
2025-07-01,05:40:00,103.0,100.0,99.0,94.0,94.0
2025-07-01,05:45:00,106.0,104.0,97.0,94.0,92.0
2025-07-01,05:50:00,103.0,102.0,98.0,94.0,91.0
2025-07-01,05:55:00,104.0,104.0,102.0,92.0,89.0
2025-07-01,06:00:00,104.0,104.0,94.0,95.0,91.0
2025-07-01,06:05:00,104.0,97.0,98.0,93.0,94.0
