date,time_5min,小客車_車速,小貨車_車速,大客車_車速,大貨車_車速,聯結車_車速
2025-07-02,00:00:00,107.0,97.0,98.0,92.0,93.0
2025-07-02,00:05:00,106.0,98.0,99.0,85.0,91.0
2025-07-02,00:10:00,106.0,102.0,102.0,99.0,90.0
2025-07-02,00:15:00,106.0,99.0,94.0,97.0,89.0
2025-07-02,00:20:00,103.0,102.0,97.0,95.0,88.0
2025-07-02,00:25:00,108.0,110.0,106.0,94.0,83.0
2025-07-02,00:30:00,102.0,105.0,100.0,100.0,91.0
2025-07-02,00:35:00,107.0,104.0,97.0,98.0,92.0
2025-07-02,00:40:00,103.0,108.0,0.0,97.0,88.0
2025-07-02,00:45:00,107.0,102.0,94.0,91.0,89.0
2025-07-02,00:50:00,106.0,102.0,0.0,89.0,94.0
2025-07-02,00:55:00,102.0,103.0,97.0,91.0,93.0
2025-07-02,01:00:00,107.0,100.0,0.0,102.0,93.0
2025-07-02,01:05:00,108.0,97.0,0.0,94.0,88.0
2025-07-02,01:10:00,103.0,95.0,100.0,98.0,95.0
2025-07-02,01:15:00,101.0,108.0,100.0,89.0,94.0
2025-07-02,01:20:00,108.0,97.0,103.0,104.0,89.0
2025-07-02,01:25:00,106.0,100.0,0.0,98.0,91.0
2025-07-02,01:30:00,104.0,103.0,94.0,97.0,93.0
2025-07-02,01:35:00,103.0,94.0,101.0,95.0,90.0
2025-07-02,01:40:00,106.0,102.0,102.0,97.0,89.0
2025-07-02,01:45:00,106.0,106.0,102.0,92.0,95.0
2025-07-02,01:50:00,106.0,98.0,98.0,102.0,93.0
2025-07-02,01:55:00,106.0,108.0,95.0,100.0,93.0
2025-07-02,02:00:00,104.0,100.0,98.0,101.0,87.0
2025-07-02,02:05:00,103.0,108.0,87.0,97.0,89.0
2025-07-02,02:10:00,104.0,104.0,88.0,95.0,91.0
2025-07-02,02:15:00,106.0,98.0,0.0,91.0,86.0
2025-07-02,02:20:00,99.0,98.0,0.0,99.0,91.0
2025-07-02,02:25:00,102.0,104.0,0.0,87.0,88.0
2025-07-02,02:30:00,104.0,102.0,100.0,90.0,90.0
2025-07-02,02:35:00,104.0,96.0,0.0,97.0,91.0
2025-07-02,02:40:00,103.0,104.0,93.0,98.0,95.0
2025-07-02,02:45:00,106.0,99.0,0.0,93.0,91.0
2025-07-02,02:50:00,103.0,98.0,0.0,94.0,95.0
2025-07-02,02:55:00,102.0,94.0,100.0,86.0,89.0
2025-07-02,03:00:00,110.0,78.0,0.0,94.0,91.0
2025-07-02,03:05:00,106.0,102.0,108.0,91.0,89.0
2025-07-02,03:10:00,104.0,107.0,100.0,98.0,97.0
2025-07-02,03:15:00,106.0,104.0,99.0,104.0,92.0
2025-07-02,03:20:00,110.0,103.0,94.0,95.0,88.0
2025-07-02,03:25:00,106.0,103.0,95.0,99.0,92.0
2025-07-02,03:30:00,106.0,104.0,0.0,85.0,89.0
2025-07-02,03:35:00,104.0,103.0,0.0,90.0,91.0
2025-07-02,03:40:00,104.0,104.0,0.0,97.0,94.0
2025-07-02,03:45:00,103.0,100.0,99.0,97.0,91.0
2025-07-02,03:50:00,107.0,102.0,0.0,87.0,92.0
2025-07-02,03:55:00,108.0,100.0,98.0,90.0,89.0
2025-07-02,04:00:00,102.0,106.0,103.0,99.0,91.0
2025-07-02,04:05:00,102.0,87.0,102.0,98.0,88.0
2025-07-02,04:10:00,106.0,97.0,0.0,88.0,89.0
2025-07-02,04:15:00,104.0,100.0,0.0,93.0,84.0
2025-07-02,04:20:00,110.0,100.0,103.0,98.0,86.0
2025-07-02,04:25:00,104.0,103.0,100.0,97.0,87.0
2025-07-02,04:30:00,104.0,102.0,82.0,93.0,86.0
2025-07-02,04:35:00,103.0,98.0,95.0,98.0,87.0
2025-07-02,04:40:00,104.0,100.0,98.0,91.0,92.0
2025-07-02,04:45:00,108.0,106.0,89.0,90.0,91.0
2025-07-02,04:50:00,106.0,100.0,97.0,93.0,94.0
