date,time_5min,小客車_車速,小貨車_車速,大客車_車速,大貨車_車速,聯結車_車速
2025-07-06,00:00:00,103.0,95.0,94.0,97.0,97.0
2025-07-06,00:05:00,104.0,99.0,102.0,99.0,91.0
2025-07-06,00:10:00,104.0,98.0,100.0,93.0,92.0
2025-07-06,00:15:00,102.0,106.0,100.0,93.0,91.0
2025-07-06,00:20:00,103.0,102.0,91.0,100.0,90.0
2025-07-06,00:25:00,106.0,97.0,94.0,97.0,85.0
2025-07-06,00:30:00,104.0,102.0,97.0,95.0,94.0
2025-07-06,00:35:00,104.0,94.0,84.0,88.0,86.0
2025-07-06,00:40:00,106.0,101.0,99.0,95.0,93.0
2025-07-06,00:45:00,106.0,104.0,97.0,94.0,87.0
2025-07-06,00:50:00,106.0,100.0,99.0,104.0,82.0
2025-07-06,00:55:00,108.0,102.0,100.0,107.0,87.0
2025-07-06,01:00:00,101.0,104.0,0.0,98.0,97.0
2025-07-06,01:05:00,102.0,101.0,100.0,95.0,92.0
2025-07-06,01:10:00,106.0,102.0,102.0,98.0,83.0
2025-07-06,01:15:00,104.0,104.0,98.0,99.0,87.0
2025-07-06,01:20:00,102.0,102.0,93.0,115.0,83.0
2025-07-06,01:25:00,106.0,112.0,102.0,98.0,92.0
2025-07-06,01:30:00,103.0,101.0,106.0,91.0,97.0
2025-07-06,01:35:00,103.0,94.0,0.0,97.0,88.0
2025-07-06,01:40:00,104.0,104.0,108.0,98.0,94.0
2025-07-06,01:45:00,103.0,98.0,100.0,94.0,0.0
2025-07-06,01:50:00,99.0,105.0,98.0,97.0,79.0
2025-07-06,01:55:00,107.0,104.0,99.0,107.0,89.0
2025-07-06,02:00:00,100.0,102.0,102.0,97.0,95.0
2025-07-06,02:05:00,106.0,103.0,0.0,91.0,98.0
2025-07-06,02:10:00,102.0,107.0,106.0,102.0,90.0
2025-07-06,02:15:00,106.0,103.0,0.0,97.0,93.0
2025-07-06,02:20:00,102.0,97.0,103.0,97.0,95.0
2025-07-06,02:25:00,102.0,0.0,94.0,84.0,95.0
2025-07-06,02:30:00,106.0,0.0,0.0,94.0,100.0
2025-07-06,02:35:00,102.0,99.0,0.0,94.0,91.0
2025-07-06,02:40:00,101.0,93.0,100.0,97.0,90.0
2025-07-06,02:45:00,107.0,106.0,0.0,112.0,97.0
2025-07-06,02:50:00,103.0,89.0,0.0,98.0,100.0
2025-07-06,02:55:00,106.0,109.0,99.0,95.0,97.0
2025-07-06,03:00:00,101.0,102.0,104.0,98.0,91.0
2025-07-06,03:05:00,104.0,98.0,87.0,95.0,97.0
2025-07-06,03:10:00,99.0,108.0,107.0,97.0,98.0
2025-07-06,03:15:00,107.0,104.0,0.0,102.0,93.0
2025-07-06,03:20:00,106.0,105.0,103.0,89.0,87.0
2025-07-06,03:25:00,104.0,99.0,98.0,91.0,93.0
2025-07-06,03:30:00,107.0,102.0,102.0,102.0,97.0
2025-07-06,03:35:00,103.0,106.0,0.0,92.0,95.0
2025-07-06,03:40:00,101.0,85.0,90.0,105.0,84.0
2025-07-06,03:45:00,101.0,100.0,93.0,112.0,115.0
2025-07-06,03:50:00,100.0,106.0,0.0,93.0,87.0
2025-07-06,03:55:00,102.0,100.0,0.0,90.0,88.0
2025-07-06,04:00:00,102.0,106.0,0.0,0.0,78.0
2025-07-06,04:05:00,108.0,99.0,99.0,97.0,95.0
2025-07-06,04:10:00,109.0,103.0,0.0,100.0,95.0
2025-07-06,04:15:00,106.0,104.0,0.0,98.0,82.0
2025-07-06,04:20:00,104.0,109.0,98.0,103.0,79.0
2025-07-06,04:25:00,104.0,100.0,102.0,99.0,91.0
2025-07-06,04:30:00,99.0,103.0,0.0,91.0,82.0
2025-07-06,04:35:00,102.0,95.0,102.0,86.0,94.0
2025-07-06,04:40:00,104.0,100.0,107.0,95.0,92.0
2025-07-06,04:45:00,104.0,102.0,100.0,98.0,88.0
2025-07-06,04:50:00,102.0,100.0,100.0,94.0,89.0
2025-07-06,04:55:00,102.0,102.0,99.0,97.0,92.0
2025-07-06,05:00:00,107.0,103.0,0.0,94.0,98.0
2025-07-06,05:05:00,107.0,100.0,0.0,91.0,90.0
2025-07-06,05:10:00,107.0,104.0,103.0,80.0,91.0
2025-07-06,05:15:00,103.0,106.0,95.0,104.0,95.0
2025-07-06,05:20:00,107.0,106.0,94.0,96.0,82.0
2025-07-06,05:25:00,108.0,106.0,98.0,90.0,97.0
2025-07-06,05:30:00,104.0,103.0,78.0,97.0,90.0
2025-07-06,05:35:00,108.0,102.0,98.0,92.0,83.0
2025-07-06,05:40:00,105.0,103.0,97.0,102.0,78.0
2025-07-06,05:45:00,108.0,102.0,100.0,100.0,86.0
2025-07-06,05:50:00,106.0,106.0,103.0,97.0,90.0
2025-07-06,05:55:00,106.0,103.0,101.0,94.0,93.0
