date,time_5min,小客車_車速,小貨車_車速,大客車_車速,大貨車_車速,聯結車_車速
2025-07-03,00:00:00,107.0,100.0,99.0,92.0,89.0
2025-07-03,00:05:00,108.0,104.0,96.0,96.0,91.0
2025-07-03,00:10:00,106.0,97.0,92.0,92.0,87.0
2025-07-03,00:15:00,104.0,99.0,91.0,98.0,89.0
2025-07-03,00:20:00,103.0,103.0,93.0,90.0,92.0
2025-07-03,00:25:00,106.0,100.0,91.0,98.0,89.0
2025-07-03,00:30:00,104.0,102.0,100.0,93.0,90.0
2025-07-03,00:35:00,104.0,102.0,101.0,99.0,91.0
2025-07-03,00:40:00,103.0,94.0,0.0,91.0,87.0
2025-07-03,00:45:00,106.0,100.0,102.0,95.0,91.0
2025-07-03,00:50:00,107.0,102.0,98.0,98.0,87.0
2025-07-03,00:55:00,106.0,113.0,95.0,94.0,94.0
2025-07-03,01:00:00,104.0,100.0,107.0,94.0,88.0
2025-07-03,01:05:00,106.0,94.0,0.0,98.0,84.0
2025-07-03,01:10:00,107.0,98.0,96.0,94.0,91.0
2025-07-03,01:15:00,108.0,92.0,0.0,98.0,91.0
2025-07-03,01:20:00,104.0,103.0,104.0,99.0,95.0
2025-07-03,01:25:00,104.0,106.0,0.0,95.0,95.0
2025-07-03,01:30:00,102.0,98.0,0.0,93.0,91.0
2025-07-03,01:35:00,106.0,100.0,98.0,78.0,95.0
2025-07-03,01:40:00,108.0,99.0,97.0,97.0,90.0
2025-07-03,01:45:00,98.0,99.0,100.0,96.0,90.0
2025-07-03,01:50:00,108.0,98.0,90.0,97.0,94.0
2025-07-03,01:55:00,112.0,107.0,0.0,91.0,90.0
2025-07-03,02:00:00,107.0,95.0,102.0,97.0,87.0
2025-07-03,02:05:00,108.0,104.0,80.0,92.0,90.0
2025-07-03,02:10:00,107.0,101.0,73.0,98.0,91.0
2025-07-03,02:15:00,105.0,100.0,0.0,89.0,91.0
2025-07-03,02:20:00,103.0,95.0,103.0,103.0,91.0
2025-07-03,02:25:00,100.0,103.0,89.0,98.0,93.0
2025-07-03,02:30:00,108.0,103.0,89.0,89.0,95.0
